pathways	pvals	adjP	ctype	pathType	universe	coefType	direction
O-linked	0.85433795200053	1	TCGA_BLCA	Pathways	genome	tumorVnormal	up
TMTC_Type	1	1	TCGA_BLCA	Pathways	genome	tumorVnormal	up
GPI_Linked	1	1	TCGA_BLCA	Pathways	genome	tumorVnormal	up
Lipid-linked	0.934923388220356	1	TCGA_BLCA	Pathways	genome	tumorVnormal	up
O-GalNAc	0.880103724053613	1	TCGA_BLCA	Pathways	genome	tumorVnormal	up
Lysosome_Degradation	0.187411793431248	1	TCGA_BLCA	Pathways	genome	tumorVnormal	up
Lipid-linked_Lysosome_Degradation	0.121166636649735	1	TCGA_BLCA	Pathways	genome	tumorVnormal	up
GlcCer	0.783399878863591	1	TCGA_BLCA	Pathways	genome	tumorVnormal	up
GalCer	1	1	TCGA_BLCA	Pathways	genome	tumorVnormal	up
Sulfation	1	1	TCGA_BLCA	Pathways	genome	tumorVnormal	up
Sugar_Metabolism	1	1	TCGA_BLCA	Pathways	genome	tumorVnormal	up
Hyaluronan	1	1	TCGA_BLCA	Pathways	genome	tumorVnormal	up
Metabolic_GlcAT	1	1	TCGA_BLCA	Pathways	genome	tumorVnormal	up
GlcAT	1	1	TCGA_BLCA	Pathways	genome	tumorVnormal	up
Glycosyltransferase	1	1	TCGA_BLCA	Pathways	genome	tumorVnormal	up
Transferase	1	1	TCGA_BLCA	Pathways	genome	tumorVnormal	up
Glycogene	0.909661210351129	1	TCGA_BLCA	Pathways	genome	tumorVnormal	up
Glycosylation_Regulator	0.354011580127933	1	TCGA_BLCA	Pathways	genome	tumorVnormal	up
N-linked	0.130548636460875	1	TCGA_BLCA	Pathways	genome	tumorVnormal	up
Processing	0.283827190725144	1	TCGA_BLCA	Pathways	genome	tumorVnormal	up
Core2	1	1	TCGA_BLCA	Pathways	genome	tumorVnormal	up
Keratan_Sulfate	1	1	TCGA_BLCA	Pathways	genome	tumorVnormal	up
Branching	0.582727039834481	1	TCGA_BLCA	Pathways	genome	tumorVnormal	up
Sugar_Transport	0.582727039834481	1	TCGA_BLCA	Pathways	genome	tumorVnormal	up
Transporters	0.664643262195487	1	TCGA_BLCA	Pathways	genome	tumorVnormal	up
Glucose_Transport	0.582727039834481	1	TCGA_BLCA	Pathways	genome	tumorVnormal	up
UDP-Glc_Synthesis	0.277410091937553	1	TCGA_BLCA	Pathways	genome	tumorVnormal	up
HS_Polymerization	1	1	TCGA_BLCA	Pathways	genome	tumorVnormal	up
Dolichol_Pathway	0.157551755565529	1	TCGA_BLCA	Pathways	genome	tumorVnormal	up
GAG_Lysosome_Degradation	0.237183797152782	1	TCGA_BLCA	Pathways	genome	tumorVnormal	up
Lysosomal_Targeting	1	1	TCGA_BLCA	Pathways	genome	tumorVnormal	up
Type_I_LacNAc	1	1	TCGA_BLCA	Pathways	genome	tumorVnormal	up
Elongation_and_Branching	0.874597226635574	1	TCGA_BLCA	Pathways	genome	tumorVnormal	up
C-Man	1	1	TCGA_BLCA	Pathways	genome	tumorVnormal	up
LacdiNAc	1	1	TCGA_BLCA	Pathways	genome	tumorVnormal	up
GDP-Fuc_Transport	1	1	TCGA_BLCA	Pathways	genome	tumorVnormal	up
CS&DS_Sulfation	0.197301540418	1	TCGA_BLCA	Pathways	genome	tumorVnormal	up
GDP-Fuc_Synthesis	0.354011580127933	1	TCGA_BLCA	Pathways	genome	tumorVnormal	up
UDP-GalNAc_Synthesis	0.279438109959036	1	TCGA_BLCA	Pathways	genome	tumorVnormal	up
Globoside	1	1	TCGA_BLCA	Pathways	genome	tumorVnormal	up
Core3	1	1	TCGA_BLCA	Pathways	genome	tumorVnormal	up
Lactoside	1	1	TCGA_BLCA	Pathways	genome	tumorVnormal	up
O-GlcNAc	1	1	TCGA_BLCA	Pathways	genome	tumorVnormal	up
O-Fuc	1	1	TCGA_BLCA	Pathways	genome	tumorVnormal	up
UDP-Gal_Synthesis	0.029901358554415	1	TCGA_BLCA	Pathways	genome	tumorVnormal	up
N-sulfation	1	1	TCGA_BLCA	Pathways	genome	tumorVnormal	up
ABO_BloodGroups	1	1	TCGA_BLCA	Pathways	genome	tumorVnormal	up
UDP-Xyl_Synthesis	1	1	TCGA_BLCA	Pathways	genome	tumorVnormal	up
O-Glc	0.354011580127933	1	TCGA_BLCA	Pathways	genome	tumorVnormal	up
HNK-1	1	1	TCGA_BLCA	Pathways	genome	tumorVnormal	up
UDP-Gal_Transport	0.103482188387849	1	TCGA_BLCA	Pathways	genome	tumorVnormal	up
GDP-Man_Synthesis	0.625919945169693	1	TCGA_BLCA	Pathways	genome	tumorVnormal	up
Ganglioside	0.354011580127933	1	TCGA_BLCA	Pathways	genome	tumorVnormal	up
GAG_Extracellular_Degradation	0.196259192824162	1	TCGA_BLCA	Pathways	genome	tumorVnormal	up
Acetylation	1	1	TCGA_BLCA	Pathways	genome	tumorVnormal	up
Core4	1	1	TCGA_BLCA	Pathways	genome	tumorVnormal	up
PAPS	1	1	TCGA_BLCA	Pathways	genome	tumorVnormal	up
Type_II_LacNAc	0.420869616589009	1	TCGA_BLCA	Pathways	genome	tumorVnormal	up
UDP-GlcNAc_Transport	1	1	TCGA_BLCA	Pathways	genome	tumorVnormal	up
UDP-Xyl_Transport	1	1	TCGA_BLCA	Pathways	genome	tumorVnormal	up
Glycosylation_Regulation	0.196259192824162	1	TCGA_BLCA	Pathways	genome	tumorVnormal	up
Neolactoside	1	1	TCGA_BLCA	Pathways	genome	tumorVnormal	up
GDP-Man_Transport	1	1	TCGA_BLCA	Pathways	genome	tumorVnormal	up
UDP-Glc_Transport	1	1	TCGA_BLCA	Pathways	genome	tumorVnormal	up
POMGNT2_Type	1	1	TCGA_BLCA	Pathways	genome	tumorVnormal	up
CMP-Neu5Ac_Transport	1	1	TCGA_BLCA	Pathways	genome	tumorVnormal	up
Putative_or_Unknown_Pathways	0.103482188387849	1	TCGA_BLCA	Pathways	genome	tumorVnormal	up
UDP-GlcA_Synthesis	1	1	TCGA_BLCA	Pathways	genome	tumorVnormal	up
Dystro	1	1	TCGA_BLCA	Pathways	genome	tumorVnormal	up
Cytosol_Degradation	1	1	TCGA_BLCA	Pathways	genome	tumorVnormal	up
PAPS_Transport	1	1	TCGA_BLCA	Pathways	genome	tumorVnormal	up
Modification_Transport	1	1	TCGA_BLCA	Pathways	genome	tumorVnormal	up
CMP-Neu5Ac_Synthesis	1	1	TCGA_BLCA	Pathways	genome	tumorVnormal	up
N-linked_Lysosome_Degradation	1	1	TCGA_BLCA	Pathways	genome	tumorVnormal	up
Core1	1	1	TCGA_BLCA	Pathways	genome	tumorVnormal	up
N-linked_Extracellular_Degradation	1	1	TCGA_BLCA	Pathways	genome	tumorVnormal	up
Type_III_LacNAc	1	1	TCGA_BLCA	Pathways	genome	tumorVnormal	up
POMGNT1_Type	1	1	TCGA_BLCA	Pathways	genome	tumorVnormal	up
O-linked_Lysosome_Degradation	1	1	TCGA_BLCA	Pathways	genome	tumorVnormal	up
HA_Extracellular_Degradation	0.569572294749296	1	TCGA_BRCA	Pathways	genome	tumorVnormal	up
Extracellular_Degradation	0.113963016421433	1	TCGA_BRCA	Pathways	genome	tumorVnormal	up
Glycan_Degradation	0.34720939485616	1	TCGA_BRCA	Pathways	genome	tumorVnormal	up
Pathway	0.453712805769747	1	TCGA_BRCA	Pathways	genome	tumorVnormal	up
Heparan_Sulfate	0.344838259317718	1	TCGA_BRCA	Pathways	genome	tumorVnormal	up
O-Xyl	0.347671184631449	1	TCGA_BRCA	Pathways	genome	tumorVnormal	up
GAG	0.220626979876287	1	TCGA_BRCA	Pathways	genome	tumorVnormal	up
CorePathways	0.662679499430074	1	TCGA_BRCA	Pathways	genome	tumorVnormal	up
Glycosylation	0.675822809569516	1	TCGA_BRCA	Pathways	genome	tumorVnormal	up
Chondroitin&Dermatan_Sulfate	0.377279483430261	1	TCGA_BRCA	Pathways	genome	tumorVnormal	up
CS&DS_Polymerization	0.418248023489001	1	TCGA_BRCA	Pathways	genome	tumorVnormal	up
Capping	0.402106882978082	1	TCGA_BRCA	Pathways	genome	tumorVnormal	up
HS_Sulfation	0.193418230388731	1	TCGA_BRCA	Pathways	genome	tumorVnormal	up
Nucleotide_Sugar_Synthesis	0.139943867832588	1	TCGA_BRCA	Pathways	genome	tumorVnormal	up
Nucleotide_Sugar	0.166154758785307	1	TCGA_BRCA	Pathways	genome	tumorVnormal	up
donor_synthesis	0.201724086490934	1	TCGA_BRCA	Pathways	genome	tumorVnormal	up
UDP-GlcNAc_Synthesis	0.780736378363743	1	TCGA_BRCA	Pathways	genome	tumorVnormal	up
UDP-GalNAc_Transport	1	1	TCGA_BRCA	Pathways	genome	tumorVnormal	up
Nucleotide_Sugar_Transport	0.692787147835571	1	TCGA_BRCA	Pathways	genome	tumorVnormal	up
UDP-GlcA_Transport	1	1	TCGA_BRCA	Pathways	genome	tumorVnormal	up
O-Man	0.905652096641995	1	TCGA_BRCA	Pathways	genome	tumorVnormal	up
O-linked	0.770020743082305	1	TCGA_BRCA	Pathways	genome	tumorVnormal	up
TMTC_Type	1	1	TCGA_BRCA	Pathways	genome	tumorVnormal	up
GPI_Linked	0.474488953909459	1	TCGA_BRCA	Pathways	genome	tumorVnormal	up
Lipid-linked	0.312040215118999	1	TCGA_BRCA	Pathways	genome	tumorVnormal	up
O-GalNAc	0.376802972263752	1	TCGA_BRCA	Pathways	genome	tumorVnormal	up
Lysosome_Degradation	0.685714451757321	1	TCGA_BRCA	Pathways	genome	tumorVnormal	up
Lipid-linked_Lysosome_Degradation	0.636360297438023	1	TCGA_BRCA	Pathways	genome	tumorVnormal	up
GlcCer	0.327621891913571	1	TCGA_BRCA	Pathways	genome	tumorVnormal	up
GalCer	1	1	TCGA_BRCA	Pathways	genome	tumorVnormal	up
Sulfation	0.396955866049169	1	TCGA_BRCA	Pathways	genome	tumorVnormal	up
Sugar_Metabolism	0.569572294749296	1	TCGA_BRCA	Pathways	genome	tumorVnormal	up
Hyaluronan	1	1	TCGA_BRCA	Pathways	genome	tumorVnormal	up
Metabolic_GlcAT	1	1	TCGA_BRCA	Pathways	genome	tumorVnormal	up
GlcAT	1	1	TCGA_BRCA	Pathways	genome	tumorVnormal	up
Glycosyltransferase	1	1	TCGA_BRCA	Pathways	genome	tumorVnormal	up
Transferase	1	1	TCGA_BRCA	Pathways	genome	tumorVnormal	up
Glycogene	0.920296679721709	1	TCGA_BRCA	Pathways	genome	tumorVnormal	up
Glycosylation_Regulator	0.49052115910304	1	TCGA_BRCA	Pathways	genome	tumorVnormal	up
N-linked	0.51051608583074	1	TCGA_BRCA	Pathways	genome	tumorVnormal	up
Processing	0.765438340174589	1	TCGA_BRCA	Pathways	genome	tumorVnormal	up
Core2	1	1	TCGA_BRCA	Pathways	genome	tumorVnormal	up
Keratan_Sulfate	0.0647251996337448	1	TCGA_BRCA	Pathways	genome	tumorVnormal	up
Branching	0.740459894488772	1	TCGA_BRCA	Pathways	genome	tumorVnormal	up
Sugar_Transport	0.297799195052734	1	TCGA_BRCA	Pathways	genome	tumorVnormal	up
Transporters	0.418248023489001	1	TCGA_BRCA	Pathways	genome	tumorVnormal	up
Glucose_Transport	0.297799195052734	1	TCGA_BRCA	Pathways	genome	tumorVnormal	up
UDP-Glc_Synthesis	0.418248023489001	1	TCGA_BRCA	Pathways	genome	tumorVnormal	up
HS_Polymerization	1	1	TCGA_BRCA	Pathways	genome	tumorVnormal	up
Dolichol_Pathway	0.260479461719544	1	TCGA_BRCA	Pathways	genome	tumorVnormal	up
GAG_Lysosome_Degradation	1	1	TCGA_BRCA	Pathways	genome	tumorVnormal	up
Lysosomal_Targeting	1	1	TCGA_BRCA	Pathways	genome	tumorVnormal	up
Type_I_LacNAc	1	1	TCGA_BRCA	Pathways	genome	tumorVnormal	up
Elongation_and_Branching	0.583339841406252	1	TCGA_BRCA	Pathways	genome	tumorVnormal	up
C-Man	1	1	TCGA_BRCA	Pathways	genome	tumorVnormal	up
LacdiNAc	0.174316616518014	1	TCGA_BRCA	Pathways	genome	tumorVnormal	up
GDP-Fuc_Transport	1	1	TCGA_BRCA	Pathways	genome	tumorVnormal	up
CS&DS_Sulfation	0.740459894488772	1	TCGA_BRCA	Pathways	genome	tumorVnormal	up
GDP-Fuc_Synthesis	0.116259986887556	1	TCGA_BRCA	Pathways	genome	tumorVnormal	up
UDP-GalNAc_Synthesis	0.396955866049169	1	TCGA_BRCA	Pathways	genome	tumorVnormal	up
Globoside	1	1	TCGA_BRCA	Pathways	genome	tumorVnormal	up
Core3	1	1	TCGA_BRCA	Pathways	genome	tumorVnormal	up
Lactoside	1	1	TCGA_BRCA	Pathways	genome	tumorVnormal	up
O-GlcNAc	1	1	TCGA_BRCA	Pathways	genome	tumorVnormal	up
O-Fuc	1	1	TCGA_BRCA	Pathways	genome	tumorVnormal	up
UDP-Gal_Synthesis	0.396955866049169	1	TCGA_BRCA	Pathways	genome	tumorVnormal	up
N-sulfation	0.49052115910304	1	TCGA_BRCA	Pathways	genome	tumorVnormal	up
ABO_BloodGroups	0.286212310577361	1	TCGA_BRCA	Pathways	genome	tumorVnormal	up
UDP-Xyl_Synthesis	1	1	TCGA_BRCA	Pathways	genome	tumorVnormal	up
O-Glc	1	1	TCGA_BRCA	Pathways	genome	tumorVnormal	up
HNK-1	1	1	TCGA_BRCA	Pathways	genome	tumorVnormal	up
UDP-Gal_Transport	0.155137525294162	1	TCGA_BRCA	Pathways	genome	tumorVnormal	up
GDP-Man_Synthesis	0.113963016421433	1	TCGA_BRCA	Pathways	genome	tumorVnormal	up
Ganglioside	0.49052115910304	1	TCGA_BRCA	Pathways	genome	tumorVnormal	up
GAG_Extracellular_Degradation	0.0240627400109625	1	TCGA_BRCA	Pathways	genome	tumorVnormal	up
Acetylation	1	1	TCGA_BRCA	Pathways	genome	tumorVnormal	up
Core4	0.155137525294162	1	TCGA_BRCA	Pathways	genome	tumorVnormal	up
PAPS	1	1	TCGA_BRCA	Pathways	genome	tumorVnormal	up
Type_II_LacNAc	0.569572294749296	1	TCGA_BRCA	Pathways	genome	tumorVnormal	up
UDP-GlcNAc_Transport	1	1	TCGA_BRCA	Pathways	genome	tumorVnormal	up
UDP-Xyl_Transport	1	1	TCGA_BRCA	Pathways	genome	tumorVnormal	up
Glycosylation_Regulation	1	1	TCGA_BRCA	Pathways	genome	tumorVnormal	up
Neolactoside	1	1	TCGA_BRCA	Pathways	genome	tumorVnormal	up
GDP-Man_Transport	1	1	TCGA_BRCA	Pathways	genome	tumorVnormal	up
UDP-Glc_Transport	1	1	TCGA_BRCA	Pathways	genome	tumorVnormal	up
POMGNT2_Type	1	1	TCGA_BRCA	Pathways	genome	tumorVnormal	up
CMP-Neu5Ac_Transport	1	1	TCGA_BRCA	Pathways	genome	tumorVnormal	up
Putative_or_Unknown_Pathways	1	1	TCGA_BRCA	Pathways	genome	tumorVnormal	up
UDP-GlcA_Synthesis	1	1	TCGA_BRCA	Pathways	genome	tumorVnormal	up
Dystro	1	1	TCGA_BRCA	Pathways	genome	tumorVnormal	up
Cytosol_Degradation	1	1	TCGA_BRCA	Pathways	genome	tumorVnormal	up
PAPS_Transport	1	1	TCGA_BRCA	Pathways	genome	tumorVnormal	up
Modification_Transport	1	1	TCGA_BRCA	Pathways	genome	tumorVnormal	up
CMP-Neu5Ac_Synthesis	0.49052115910304	1	TCGA_BRCA	Pathways	genome	tumorVnormal	up
N-linked_Lysosome_Degradation	1	1	TCGA_BRCA	Pathways	genome	tumorVnormal	up
Core1	1	1	TCGA_BRCA	Pathways	genome	tumorVnormal	up
N-linked_Extracellular_Degradation	1	1	TCGA_BRCA	Pathways	genome	tumorVnormal	up
Type_III_LacNAc	1	1	TCGA_BRCA	Pathways	genome	tumorVnormal	up
POMGNT1_Type	1	1	TCGA_BRCA	Pathways	genome	tumorVnormal	up
O-linked_Lysosome_Degradation	1	1	TCGA_BRCA	Pathways	genome	tumorVnormal	up
HA_Extracellular_Degradation	0.648960224997973	1	TCGA_COAD	Pathways	genome	tumorVnormal	up
Extracellular_Degradation	0.276617319224924	1	TCGA_COAD	Pathways	genome	tumorVnormal	up
Glycan_Degradation	0.576662519362665	1	TCGA_COAD	Pathways	genome	tumorVnormal	up
Pathway	0.988978974806176	1	TCGA_COAD	Pathways	genome	tumorVnormal	up
Heparan_Sulfate	0.412874787890865	1	TCGA_COAD	Pathways	genome	tumorVnormal	up
O-Xyl	0.256830738028522	1	TCGA_COAD	Pathways	genome	tumorVnormal	up
GAG	0.222664644492646	1	TCGA_COAD	Pathways	genome	tumorVnormal	up
CorePathways	0.459499423478557	1	TCGA_COAD	Pathways	genome	tumorVnormal	up
Glycosylation	0.95044190319193	1	TCGA_COAD	Pathways	genome	tumorVnormal	up
Chondroitin&Dermatan_Sulfate	0.197914693605533	1	TCGA_COAD	Pathways	genome	tumorVnormal	up
CS&DS_Polymerization	0.0563647469612902	1	TCGA_COAD	Pathways	genome	tumorVnormal	up
Capping	0.999483114507852	1	TCGA_COAD	Pathways	genome	tumorVnormal	up
HS_Sulfation	0.638165064919695	1	TCGA_COAD	Pathways	genome	tumorVnormal	up
Nucleotide_Sugar_Synthesis	0.934615225511387	1	TCGA_COAD	Pathways	genome	tumorVnormal	up
Nucleotide_Sugar	0.977184060385525	1	TCGA_COAD	Pathways	genome	tumorVnormal	up
donor_synthesis	0.977476917389199	1	TCGA_COAD	Pathways	genome	tumorVnormal	up
UDP-GlcNAc_Synthesis	0.692191231595264	1	TCGA_COAD	Pathways	genome	tumorVnormal	up
UDP-GalNAc_Transport	1	1	TCGA_COAD	Pathways	genome	tumorVnormal	up
Nucleotide_Sugar_Transport	0.975690186990642	1	TCGA_COAD	Pathways	genome	tumorVnormal	up
UDP-GlcA_Transport	1	1	TCGA_COAD	Pathways	genome	tumorVnormal	up
O-Man	0.23213815153885	1	TCGA_COAD	Pathways	genome	tumorVnormal	up
O-linked	0.749434808751659	1	TCGA_COAD	Pathways	genome	tumorVnormal	up
TMTC_Type	0.442363871912569	1	TCGA_COAD	Pathways	genome	tumorVnormal	up
GPI_Linked	0.138287498398994	1	TCGA_COAD	Pathways	genome	tumorVnormal	up
Lipid-linked	0.921839525310488	1	TCGA_COAD	Pathways	genome	tumorVnormal	up
O-GalNAc	0.984896138828799	1	TCGA_COAD	Pathways	genome	tumorVnormal	up
Lysosome_Degradation	0.837742656337244	1	TCGA_COAD	Pathways	genome	tumorVnormal	up
Lipid-linked_Lysosome_Degradation	0.793290836503996	1	TCGA_COAD	Pathways	genome	tumorVnormal	up
GlcCer	0.997923593097654	1	TCGA_COAD	Pathways	genome	tumorVnormal	up
GalCer	1	1	TCGA_COAD	Pathways	genome	tumorVnormal	up
Sulfation	1	1	TCGA_COAD	Pathways	genome	tumorVnormal	up
Sugar_Metabolism	1	1	TCGA_COAD	Pathways	genome	tumorVnormal	up
Hyaluronan	0.620203589763502	1	TCGA_COAD	Pathways	genome	tumorVnormal	up
Metabolic_GlcAT	0.998862544144061	1	TCGA_COAD	Pathways	genome	tumorVnormal	up
GlcAT	0.998862544144061	1	TCGA_COAD	Pathways	genome	tumorVnormal	up
Glycosyltransferase	0.998862544144061	1	TCGA_COAD	Pathways	genome	tumorVnormal	up
Transferase	0.998862544144061	1	TCGA_COAD	Pathways	genome	tumorVnormal	up
Glycogene	0.952799928536917	1	TCGA_COAD	Pathways	genome	tumorVnormal	up
Glycosylation_Regulator	0.113799725183279	1	TCGA_COAD	Pathways	genome	tumorVnormal	up
N-linked	0.398732096112667	1	TCGA_COAD	Pathways	genome	tumorVnormal	up
Processing	0.877931348491538	1	TCGA_COAD	Pathways	genome	tumorVnormal	up
Core2	0.672300321476252	1	TCGA_COAD	Pathways	genome	tumorVnormal	up
Keratan_Sulfate	0.620203589763502	1	TCGA_COAD	Pathways	genome	tumorVnormal	up
Branching	0.988493988171118	1	TCGA_COAD	Pathways	genome	tumorVnormal	up
Sugar_Transport	0.549308687968385	1	TCGA_COAD	Pathways	genome	tumorVnormal	up
Transporters	0.584389615543959	1	TCGA_COAD	Pathways	genome	tumorVnormal	up
Glucose_Transport	0.549308687968385	1	TCGA_COAD	Pathways	genome	tumorVnormal	up
UDP-Glc_Synthesis	0.983063158582759	1	TCGA_COAD	Pathways	genome	tumorVnormal	up
HS_Polymerization	0.504629613491949	1	TCGA_COAD	Pathways	genome	tumorVnormal	up
Dolichol_Pathway	0.00172453589866372	0.172453589866372	TCGA_COAD	Pathways	genome	tumorVnormal	up
GAG_Lysosome_Degradation	0.692191231595264	1	TCGA_COAD	Pathways	genome	tumorVnormal	up
Lysosomal_Targeting	1	1	TCGA_COAD	Pathways	genome	tumorVnormal	up
Type_I_LacNAc	1	1	TCGA_COAD	Pathways	genome	tumorVnormal	up
Elongation_and_Branching	0.994889367667403	1	TCGA_COAD	Pathways	genome	tumorVnormal	up
C-Man	0.442363871912569	1	TCGA_COAD	Pathways	genome	tumorVnormal	up
LacdiNAc	0.897432029358743	1	TCGA_COAD	Pathways	genome	tumorVnormal	up
GDP-Fuc_Transport	1	1	TCGA_COAD	Pathways	genome	tumorVnormal	up
CS&DS_Sulfation	0.79529195498412	1	TCGA_COAD	Pathways	genome	tumorVnormal	up
GDP-Fuc_Synthesis	0.442363871912569	1	TCGA_COAD	Pathways	genome	tumorVnormal	up
UDP-GalNAc_Synthesis	0.926366290086422	1	TCGA_COAD	Pathways	genome	tumorVnormal	up
Globoside	0.798043307614435	1	TCGA_COAD	Pathways	genome	tumorVnormal	up
Core3	1	1	TCGA_COAD	Pathways	genome	tumorVnormal	up
Lactoside	0.969140617577084	1	TCGA_COAD	Pathways	genome	tumorVnormal	up
O-GlcNAc	0.195940761865601	1	TCGA_COAD	Pathways	genome	tumorVnormal	up
O-Fuc	0.304632969855632	1	TCGA_COAD	Pathways	genome	tumorVnormal	up
UDP-Gal_Synthesis	0.926366290086422	1	TCGA_COAD	Pathways	genome	tumorVnormal	up
N-sulfation	0.926366290086422	1	TCGA_COAD	Pathways	genome	tumorVnormal	up
ABO_BloodGroups	0.824312056645448	1	TCGA_COAD	Pathways	genome	tumorVnormal	up
UDP-Xyl_Synthesis	0.580836880571841	1	TCGA_COAD	Pathways	genome	tumorVnormal	up
O-Glc	0.442363871912569	1	TCGA_COAD	Pathways	genome	tumorVnormal	up
HNK-1	0.926366290086422	1	TCGA_COAD	Pathways	genome	tumorVnormal	up
UDP-Gal_Transport	0.580836880571841	1	TCGA_COAD	Pathways	genome	tumorVnormal	up
GDP-Man_Synthesis	0.96703190832622	1	TCGA_COAD	Pathways	genome	tumorVnormal	up
Ganglioside	1	1	TCGA_COAD	Pathways	genome	tumorVnormal	up
GAG_Extracellular_Degradation	0.337361704498235	1	TCGA_COAD	Pathways	genome	tumorVnormal	up
Acetylation	1	1	TCGA_COAD	Pathways	genome	tumorVnormal	up
Core4	1	1	TCGA_COAD	Pathways	genome	tumorVnormal	up
PAPS	0.824312056645448	1	TCGA_COAD	Pathways	genome	tumorVnormal	up
Type_II_LacNAc	0.897432029358743	1	TCGA_COAD	Pathways	genome	tumorVnormal	up
UDP-GlcNAc_Transport	0.926366290086422	1	TCGA_COAD	Pathways	genome	tumorVnormal	up
UDP-Xyl_Transport	0.580836880571841	1	TCGA_COAD	Pathways	genome	tumorVnormal	up
Glycosylation_Regulation	0.824312056645448	1	TCGA_COAD	Pathways	genome	tumorVnormal	up
Neolactoside	0.926366290086422	1	TCGA_COAD	Pathways	genome	tumorVnormal	up
GDP-Man_Transport	1	1	TCGA_COAD	Pathways	genome	tumorVnormal	up
UDP-Glc_Transport	1	1	TCGA_COAD	Pathways	genome	tumorVnormal	up
POMGNT2_Type	0.620203589763502	1	TCGA_COAD	Pathways	genome	tumorVnormal	up
CMP-Neu5Ac_Transport	1	1	TCGA_COAD	Pathways	genome	tumorVnormal	up
Putative_or_Unknown_Pathways	0.580836880571841	1	TCGA_COAD	Pathways	genome	tumorVnormal	up
UDP-GlcA_Synthesis	1	1	TCGA_COAD	Pathways	genome	tumorVnormal	up
Dystro	0.824312056645448	1	TCGA_COAD	Pathways	genome	tumorVnormal	up
Cytosol_Degradation	0.580836880571841	1	TCGA_COAD	Pathways	genome	tumorVnormal	up
PAPS_Transport	0.824312056645448	1	TCGA_COAD	Pathways	genome	tumorVnormal	up
Modification_Transport	0.824312056645448	1	TCGA_COAD	Pathways	genome	tumorVnormal	up
CMP-Neu5Ac_Synthesis	1	1	TCGA_COAD	Pathways	genome	tumorVnormal	up
N-linked_Lysosome_Degradation	0.897432029358743	1	TCGA_COAD	Pathways	genome	tumorVnormal	up
Core1	0.620203589763502	1	TCGA_COAD	Pathways	genome	tumorVnormal	up
N-linked_Extracellular_Degradation	0.580836880571841	1	TCGA_COAD	Pathways	genome	tumorVnormal	up
Type_III_LacNAc	0.337361704498235	1	TCGA_COAD	Pathways	genome	tumorVnormal	up
POMGNT1_Type	0.620203589763502	1	TCGA_COAD	Pathways	genome	tumorVnormal	up
O-linked_Lysosome_Degradation	0.580836880571841	1	TCGA_COAD	Pathways	genome	tumorVnormal	up
HA_Extracellular_Degradation	1	1	TCGA_ESCA	Pathways	genome	tumorVnormal	up
Extracellular_Degradation	1	1	TCGA_ESCA	Pathways	genome	tumorVnormal	up
Glycan_Degradation	0.596743905098826	1	TCGA_ESCA	Pathways	genome	tumorVnormal	up
Pathway	0.948376497951634	1	TCGA_ESCA	Pathways	genome	tumorVnormal	up
Heparan_Sulfate	1	1	TCGA_ESCA	Pathways	genome	tumorVnormal	up
O-Xyl	1	1	TCGA_ESCA	Pathways	genome	tumorVnormal	up
GAG	1	1	TCGA_ESCA	Pathways	genome	tumorVnormal	up
CorePathways	0.882399054295085	1	TCGA_ESCA	Pathways	genome	tumorVnormal	up
